"Path","Name","Width","Height","Length"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_border_simple.png","ui_border_simple.png","512","320","1838"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_ideology_access.png","ui_ideology_access.png","200","24","488"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_ideology_authority.png","ui_ideology_authority.png","200","24","723"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_ideology_cosmology.png","ui_ideology_cosmology.png","200","24","666"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_ideology_method.png","ui_ideology_method.png","200","24","712"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_ideology_purpose.png","ui_ideology_purpose.png","200","24","774"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_modal_decision.png","ui_modal_decision.png","490","376","387668"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_modal_release.png","ui_modal_release.png","498","376","399343"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_morale_1.png","ui_morale_1.png","60","60","7080"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_morale_2.png","ui_morale_2.png","60","60","7457"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_morale_3.png","ui_morale_3.png","60","60","7858"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_morale_4.png","ui_morale_4.png","60","60","5660"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_morale_5.png","ui_morale_5.png","60","60","4183"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_notification.png","ui_notification.png","758","80","117518"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_panel_parchment.png","ui_panel_parchment.png","400","600","491281"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_progress_bar_fill.png","ui_progress_bar_fill.png","230","10","5055"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_progress_bar_track.png","ui_progress_bar_track.png","240","18","3893"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_skill_bar_fill_high.png","ui_skill_bar_fill_high.png","110","4","145"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_skill_bar_fill_low.png","ui_skill_bar_fill_low.png","110","4","139"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_skill_bar_fill_mid.png","ui_skill_bar_fill_mid.png","110","4","139"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_skill_bar_track.png","ui_skill_bar_track.png","120","10","3183"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_tab_active.png","ui_tab_active.png","120","36","7676"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_tab_inactive.png","ui_tab_inactive.png","120","36","8911"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_trait_chip_base.png","ui_trait_chip_base.png","80","20","3606"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_trait_chip_gold.png","ui_trait_chip_gold.png","80","20","3778"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_trait_chip_muted.png","ui_trait_chip_muted.png","80","20","3408"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_world_report_letter.png","ui_world_report_letter.png","532","376","410214"
